filename	malware_name	source	first_bytes
6f3994ad6b418b55ba2a3cd4f4d8cff35284a5790ea3dd38f1abf8699410430a	outsteel	contagio_dump	b9e868e859c3
d0aad99f10bdd6f6af2f7a0f6c319ed7d126de4d1ff44ca86858e7ffc17cc39b	outsteel	contagio_dump	b9e868e859c3
5fd4e486bd7e12454f67ba8fcdaa9afc88b4d1c29705b0cffc9d32000700d314	outsteel	contagio_dump	b9e868e859c3
9ef7dbd3da51332a78eff19146d21c82957821e464e8133e9594a07d716d892d	stage3_injector	contagio_dump	ff25000000000000000000000000000000000000
9cdaacaba35c3a473ec5b652d035a9593ee822609e79662223869e2b7298dc0a	whisperGate	contagio_dump	ff25000000000000000000000000000000000000
ff3b45ecfbbdb780b48b4c829d2b6078d8f7673d823bedbd6321699770fa3f84	whisperGate	contagio_dump	ff25000000000000000000000000000000000000
00bc665d96ecadc6beb2a9384773a70391f08f8e7a2876253f32ceec793eb728	whisperGate	contagio_dump	ff25000000000000000000000000000000000000
bbe1949ffd9188f5ad316c6f07ef4ec18ba00e375c0e6c2a6d348a2a0ab1e423	whisperGate	contagio_dump	ff25000000000000000000000000000000000000
35ab54a9502e975c996cbaee3d6a690da753b4af28808d3be2054f8a58e5c7c5	whisperGate	contagio_dump	ff25000000000000000000000000000000000000
9917c962b7e0a36592c4740d193adbd31bc1eae748d2b441e77817d648487cff	outsteel_saintBot	contagio_dump	e8e98b4cf7c1748a0183c184c074f7c1
d6e2a79bc87d48819fabe332dd3539f572605bb6091d34ae7d25ae0934b606b5	outsteel_saintBot	contagio_dump	ff25000000000000000000000000000000000000
71e9cc55f159f2cec96de4f15b3c94c2b076f97d5d8cecb60b8857e7a8113a35	outsteel_saintBot	contagio_dump	e8e9cccccc8b4cf7c1748a0183c1
7ee8cfde9e4c718af6783ddd8341d63c4919851ba6418b599b2f3c2ac8d70a32	outsteel_saintBot	contagio_dump	ff25000000000000000000000000000000000000
9cf4b83688dd5035623182d6a895c61e1e71ea02dc3e474111810f6641df1d69	outsteel_saintBot	contagio_dump	e8e9cccccccccc8b4cf7c174
b6e34665dd0d045c2c79bf3148f34da0b877514a6b083b7c8c7e2577362463b3	outsteel_saintBot	contagio_dump	e8e9cccc8b4cf7c1748a0183c184c0
750c447d6e3c7d74ccab736a0082ef437b1cd2000d761d3aff2b73227457b29c	outsteel_saintBot	contagio_dump	81ec53565733db68895cc744895cc644
17c3cf5742d2a0995afb4dd2a2d711abe5de346abde49cf4cf5b82c14e0a155f	outsteel_saintBot	contagio_dump	e8e9cc8b448b4c0bc88b4c758b44f7e1
56731c777896837782beff4432330486a941e4f3af44b4d24be7c62c16e96256	outsteel_saintBot	contagio_dump	e8e98bff558bec83ec8b4556576a
0c644fedcb4298b705d24f2dee45dda0ae5dd6322d1607e342bcf1d42b59436c	outsteel_saintBot	contagio_dump	48c7c0c3
